PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
89	0.0872416	0.08013112	0.05948942	0.0501509	0.04822256	0.05645427	0.06865494	0.05968309	0.05477736	0.05904303	0.06893851	0.06199227	0.06507891
90	0.08693282	0.07899221	0.05829471	0.04892344	0.04707271	0.05550305	0.06799529	0.05972824	0.05718618	0.06033013	0.06629862	0.05612143	0.06230844
91	0.08633308	0.07845805	0.05716701	0.04788468	0.04613647	0.0548377	0.06761798	0.05972457	0.05776643	0.05529405	0.05900129	0.05218475	0.06301633
92	0.08519657	0.07754907	0.05568604	0.0465328	0.04493817	0.05383944	0.06716417	0.06010873	0.05785722	0.05867281	0.06220462	0.05197284	0.058229
93	0.08488059	0.07612116	0.0537641	0.04471171	0.04338266	0.0526446	0.06622829	0.05903322	0.05943798	0.0515156	0.06685836	0.05947325	0.06277056
94	0.08343167	0.07438692	0.05197456	0.0428396	0.04183549	0.05154625	0.06568827	0.05813868	0.05542147	0.05588718	0.07687913	0.07366064	0.06774029
95	0.08147213	0.07229816	0.04997775	0.04088932	0.04015306	0.05043988	0.06531646	0.05656965	0.05608347	0.05477447	0.08958815	0.08777615	0.07958219
96	0.08183852	0.07194058	0.04881027	0.03981037	0.0392311	0.04996041	0.06438682	0.05653263	0.0579834	0.04988992	0.10698949	0.10183836	0.09507569
97	0.08122952	0.07195481	0.04824952	0.03938611	0.03894129	0.04980311	0.06434184	0.0569601	0.05670658	0.06126263	0.12095283	0.10920851	0.09505777
98	0.0812072	0.07192067	0.04756969	0.03890466	0.03842232	0.04905218	0.06460462	0.05714073	0.06125997	0.05653607	0.13041044	0.11846311	0.10047588
99	0.0835629	0.07106	0.04732658	0.03867386	0.03829701	0.04888432	0.06623841	0.05506606	0.06141218	0.05841676	0.12442188	0.12264508	0.11143845
100	0.08308645	0.07060419	0.04729634	0.03874118	0.03848351	0.04923746	0.06817999	0.05552187	0.05456972	0.05658163	0.11352075	0.11910604	0.12113922
101	0.08412603	0.07067482	0.04721358	0.03877513	0.03841084	0.04908523	0.06632452	0.05546121	0.05302108	0.05321228	0.11086519	0.11420077	0.11704656
102	0.0813375	0.07059079	0.04727934	0.03884945	0.03853909	0.04898617	0.06431036	0.05389398	0.04970772	0.05449313	0.11574161	0.1146651	0.1073987
103	0.08108199	0.07139463	0.04709485	0.03869554	0.03840558	0.04839975	0.06633319	0.0556676	0.06092995	0.04860612	0.13576517	0.13274858	0.10696508
104	0.0841443	0.06958715	0.04660415	0.03828692	0.03820071	0.04856502	0.06747584	0.05225462	0.07793458	0.04594534	0.15277221	0.15118244	0.14347641
105	0.08427586	0.06925167	0.04627087	0.03804254	0.03810025	0.04889168	0.06844752	0.05286511	0.0723967	0.05374794	0.17018878	0.16633233	0.15595896
106	0.08624725	0.06896688	0.0460077	0.03789172	0.03797662	0.04921512	0.06819501	0.05324811	0.07285671	0.0611727	0.17692352	0.17102319	0.1625032
107	0.08160838	0.06832482	0.04603101	0.03801221	0.03811471	0.0496125	0.06314609	0.04949491	0.05416034	0.07488239	0.17673736	0.16812879	0.15261039

Level 4 Product: K Values													
K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed
